ID,Country of Origin,Lot Number,Altitude,Region,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
0,Colombia,CQU2022015,1700-1930,"Piendamo,Cauca",1,35 kg,Japan Coffee Exchange,2021 / 2022,"September 21st, 2022",Castillo,Completed,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,89.33,11.8,0,0,green,3,"September 21st, 2023"
1,Taiwan,"The 2022 Pacific Rim Coffee Summit,T037",1200,Chiayi,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,87.58,10.5,0,0,blue-green,0,"November 15th, 2023"
2,Laos,"The 2022 Pacific Rim Coffee Summit,LA01",1300,Laos Borofen Plateau,19,25 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Java,Completed,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,87.42,10.4,0,0,yellowish,2,"November 15th, 2023"
3,Costa Rica,CQU2022017,1900,"Los Santos,Tarrazu",1,22 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Gesha,Completed,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,87.17,11.8,0,0,green,0,"September 21st, 2023"
4,Colombia,CQU2023002,1850-2100,"Popayan,Cauca",2,24 kg,Japan Coffee Exchange,2022,"March 6th, 2023",Red Bourbon,Completed,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,87.08,11.6,0,2,yellow-green,2,"March 5th, 2024"
5,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT02",1668,Chimaltenango,5,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,87,10.7,0,0,green,2,"November 15th, 2023"
6,Taiwan,"The 2022 Pacific Rim Coffee Summit,T034",1250,Chiayi,1,27 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,86.92,9.1,0,0,green,0,"November 15th, 2023"
7,Taiwan,"The 2022 Pacific Rim Coffee Summit,T050",1200,Chiayi,1,90 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Sl34+Gesha,Completed,Natural / Dry,8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,86.75,10,0,0,yellow green,1,"November 15th, 2023"
8,Taiwan,"The 2022 Pacific Rim Coffee Summit,T018",1250,Chiayi,1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,86.67,10.8,0,0,greenish,0,"November 15th, 2023"
9,"Tanzania, United Republic Of",CN 4127230034/4189230113,1400-1700,KILIMANJARO,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"February 1st, 2023",Bourbon,Completed,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5,11,0,0,greenish,0,"February 1st, 2024"
10,Ethiopia,010/0296/600,1800-2200,Guji,10,30 kg,Japan Coffee Exchange,2021 / 2022,"May 31st, 2022",Ethiopian Heirlooms,Completed,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,0,86.25,11.8,0,1,greenish,1,"May 31st, 2023"
11,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT12",2000,Acatenango,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Gesha,Completed,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25,11.5,0,0,brownish,1,"November 15th, 2023"
12,Taiwan,"The 2022 Pacific Rim Coffee Summit,T051",1250,Yunlin,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Washed / Wet,8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25,11.9,0,0,green,0,"November 15th, 2023"
